it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc
0,Petrol,Hatchback,"57,910",Manual,2,2nd Owner,Hyundai,Hyundai i20 Active,2016,1665,1.2 SX,₹ 5.58 Lakh,₹ 5.81 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,MUV,"46,233",Manual,2,2nd Owner,Renault,Renault Triber,2020,10070,RXZ,₹ 6.50 Lakh,₹ 6.91 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"60,000",Automatic,1,1st Owner,Honda,Honda City,2017,7905,ZX CVT,₹ 9.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"48,979",Manual,1,1st Owner,Maruti,Maruti Swift,2021,10403,VXI,₹ 7.10 Lakh,₹ 7.38 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"42,000",Automatic,1,1st Owner,MG,MG Hector,2019,7486,Sharp DCT,₹ 17 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,06,165",Manual,1,1st Owner,Ford,Ford Ecosport,2016,892,1.5 TDCi Titanium BSIV,₹ 6.84 Lakh,₹ 6.92 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"91,261",Manual,1,1st Owner,Datsun,Datsun RediGO,2018,5236,T Option,₹ 3.09 Lakh,₹ 3.36 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"36,711",Manual,1,1st Owner,Maruti,Maruti Celerio,2018,7366,ZXI,₹ 5 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"9,000",Automatic,1,1st Owner,BMW,BMW 3 Series Gran Limousine,2021,8267,330 Li Luxury Line,₹ 55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"30,428",Manual,0,0th Owner,Maruti,Maruti Baleno,2018,3962,1.2 Delta,₹ 6.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"49,791",Manual,1,1st Owner,Renault,Renault KWID,2018,5640,1.0 RXL,₹ 3.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"40,000",Manual,1,1st Owner,MG,MG Hector Plus,2021,7907,Sharp Diesel MT,₹ 18.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"40,000",Manual,2,2nd Owner,Hyundai,Hyundai Xcent,2014,1871,1.2 Kappa SX Option,₹ 4.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"50,000",Automatic,2,2nd Owner,Maruti,Maruti Baleno,2018,3964,1.2 CVT Delta,₹ 6.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"60,000",Manual,1,1st Owner,Maruti,Maruti Vitara Brezza,2019,4299,ZDi,₹ 9.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
